id,camera_view_id,company,date,day_of_week,location,mood,time_of_day,weather
133,-1,family,2024-12-05 07:38:40.538,Thursday,home,anxious,morning,cloudy
134,-1,family,2024-12-05 07:39:09.809,Thursday,home,anxious,morning,cloudy
135,-1,family,2024-12-05 07:39:32.404,Thursday,home,anxious,morning,cloudy
136,-1,family,2024-12-05 07:39:52.953,Thursday,home,anxious,morning,cloudy
137,-1,family,2024-12-05 07:40:06.178,Thursday,home,anxious,morning,cloudy
138,-1,family,2024-12-05 07:40:41.644,Thursday,home,anxious,morning,cloudy
139,-1,family,2024-12-05 07:40:53.962,Thursday,home,anxious,morning,cloudy
140,-1,family,2024-12-05 07:41:10.87,Thursday,home,anxious,morning,cloudy
141,-1,family,2024-12-05 07:41:21.022,Thursday,home,anxious,morning,cloudy
142,-1,family,2024-12-05 07:41:30.282,Thursday,home,anxious,morning,cloudy
143,-1,family,2024-12-05 07:41:41.471,Thursday,home,anxious,morning,cloudy
144,-1,family,2024-12-05 07:41:57.249,Thursday,home,anxious,morning,cloudy
145,-1,family,2024-12-05 07:44:05.728,Thursday,home,anxious,morning,cloudy
146,-1,family,2024-12-05 07:44:21.818,Thursday,home,anxious,morning,cloudy
147,-1,family,2024-12-05 07:44:32.341,Thursday,home,anxious,morning,cloudy
148,-1,family,2024-12-05 07:44:40.997,Thursday,home,anxious,morning,cloudy
149,-1,family,2024-12-05 07:44:51.28,Thursday,home,anxious,morning,cloudy
150,-1,family,2024-12-05 07:44:59.593,Thursday,home,anxious,morning,cloudy
151,-1,family,2024-12-05 07:45:25.279,Thursday,home,anxious,morning,cloudy
152,-1,family,2024-12-05 07:45:41.372,Thursday,home,anxious,morning,cloudy
153,-1,family,2024-12-05 07:45:52.059,Thursday,home,anxious,morning,cloudy
154,-1,family,2024-12-05 07:46:01.425,Thursday,home,anxious,morning,cloudy
155,-1,family,2024-12-05 07:46:11.675,Thursday,home,anxious,morning,cloudy
156,-1,family,2024-12-05 07:46:36.221,Thursday,home,anxious,morning,cloudy
157,-1,family,2024-12-05 07:46:45.051,Thursday,home,anxious,morning,cloudy
158,-1,family,2024-12-05 07:46:53.933,Thursday,home,anxious,morning,cloudy
159,-1,family,2024-12-05 07:47:06.352,Thursday,home,anxious,morning,cloudy
160,160,alone,2024-12-07 15:52:33.589,Saturday,home,bored,afternoon,rainy
161,161,alone,2024-12-07 15:52:57.827,Saturday,home,bored,afternoon,rainy
162,162,alone,2024-12-07 15:53:16.468,Saturday,home,bored,afternoon,rainy
163,163,alone,2024-12-07 15:53:39.42,Saturday,home,bored,afternoon,rainy
164,164,alone,2024-12-07 15:53:48.861,Saturday,home,bored,afternoon,rainy
165,165,alone,2024-12-07 15:54:05.729,Saturday,home,bored,afternoon,rainy
166,166,alone,2024-12-07 15:54:12.719,Saturday,home,bored,afternoon,rainy
167,167,alone,2024-12-07 15:54:38.629,Saturday,home,bored,afternoon,rainy
168,168,alone,2024-12-07 15:54:44.021,Saturday,home,bored,afternoon,rainy
169,169,alone,2024-12-07 15:54:51.808,Saturday,home,bored,afternoon,rainy
170,170,alone,2024-12-07 15:55:01.649,Saturday,home,bored,afternoon,rainy
171,171,alone,2024-12-07 15:55:08.962,Saturday,home,bored,afternoon,rainy
172,172,alone,2024-12-07 15:55:24.383,Saturday,home,bored,afternoon,rainy
173,173,alone,2024-12-07 15:55:35.445,Saturday,home,bored,afternoon,rainy
174,174,alone,2024-12-07 15:55:45.349,Saturday,home,bored,afternoon,rainy
175,175,alone,2024-12-07 15:56:16.679,Saturday,home,bored,afternoon,rainy
176,176,alone,2024-12-07 15:56:27.16,Saturday,home,bored,afternoon,rainy
177,177,alone,2024-12-07 15:56:34.519,Saturday,home,bored,afternoon,rainy
178,178,alone,2024-12-07 15:56:44.69,Saturday,home,bored,afternoon,rainy
179,179,alone,2024-12-07 15:57:26.395,Saturday,home,bored,afternoon,rainy
180,180,alone,2024-12-07 15:57:35.289,Saturday,home,bored,afternoon,rainy
181,181,alone,2024-12-07 15:57:43.128,Saturday,home,bored,afternoon,rainy
