id,domain,rating,context_id,movie_id,song_id,user_id
58,SONG,1.5,133,,9,27
59,MOVIE,4,134,5,,27
60,SONG,0.5,135,,14,27
61,SONG,5,136,,6,27
62,SONG,2,137,,5,27
63,SONG,1.5,138,,20,27
64,MOVIE,2,139,7,,27
65,MOVIE,5,140,12,,27
66,SONG,3,141,,15,27
67,SONG,5,142,,7,27
68,SONG,3.5,143,,11,27
69,SONG,3.5,144,,19,27
70,SONG,2.5,145,,1,27
71,MOVIE,2.5,146,6,,27
72,SONG,5,147,,4,27
73,SONG,2,148,,2,27
74,SONG,0.5,149,,18,27
75,MOVIE,3,150,16,,27
76,MOVIE,3,151,18,,27
77,SONG,2,152,,17,27
78,MOVIE,1,153,10,,27
79,SONG,3.5,154,,13,27
80,MOVIE,1,155,15,,27
81,SONG,2,156,,12,27
82,SONG,0.5,157,,3,27
83,MOVIE,1,158,14,,27
84,MOVIE,5,159,17,,27
85,SONG,3.5,160,,11,28
86,MOVIE,1.5,161,10,,28
87,SONG,4.5,162,,15,28
88,SONG,5,163,,4,28
89,SONG,3,164,,17,28
90,SONG,3,165,,19,28
91,MOVIE,4,166,8,,28
92,SONG,5,167,,5,28
93,SONG,4,168,,1,28
94,MOVIE,5,169,4,,28
95,SONG,5,170,,12,28
96,MOVIE,2,171,21,,28
97,MOVIE,1,172,2,,28
98,SONG,3.5,173,,9,28
99,MOVIE,0,174,6,,28
100,SONG,2.5,175,,6,28
101,SONG,3.5,176,,13,28
102,SONG,0.5,177,,10,28
103,MOVIE,4,178,20,,28
104,SONG,4.5,179,,18,28
105,SONG,4,180,,16,28
106,MOVIE,2.5,181,17,,28
107,MOVIE,5,182,7,,28
108,MOVIE,1,183,3,,28
109,MOVIE,2,184,19,,28
110,MOVIE,2,185,14,,28
111,SONG,5,186,,8,28
112,MOVIE,4.5,187,12,,28
113,MOVIE,5,188,13,,28
114,SONG,5,189,,7,28
115,MOVIE,3,190,11,,28
116,SONG,4,191,,20,28
117,SONG,5,192,,14,28
118,MOVIE,0.5,193,15,,28
119,SONG,4.5,194,,3,28
120,SONG,5,195,,2,28
121,MOVIE,3,197,5,,28
122,MOVIE,5,198,9,,28
123,MOVIE,3,199,1,,28
124,MOVIE,5,200,18,,28
125,MOVIE,4,201,16,,28
126,SONG,4.5,204,,2,31
127,MOVIE,5,205,14,,31
128,SONG,5,206,,19,31
129,MOVIE,2,207,7,,31
130,SONG,3,208,,7,31
131,MOVIE,4,209,9,,31
132,MOVIE,5,210,19,,31
133,SONG,2.5,211,,4,31
134,MOVIE,5,212,13,,31
135,MOVIE,4.5,213,6,,31
136,SONG,5,214,,5,31
137,MOVIE,4,215,17,,31
138,SONG,5,216,,16,31
139,MOVIE,4,217,16,,31
140,MOVIE,1,218,12,,31
141,MOVIE,4.5,219,20,,31
142,SONG,3,220,,5,32
143,SONG,2.5,221,,14,32
144,SONG,1,222,,18,32
145,SONG,2,223,,10,32
146,SONG,4.5,224,,1,32
147,SONG,5,225,,13,32
148,MOVIE,5,226,11,,32
149,MOVIE,4,227,8,,32
150,SONG,0.5,228,,17,32
151,SONG,0,229,,15,32
152,SONG,4.5,230,,2,32
153,SONG,0,231,,6,32
154,SONG,4.5,232,,9,32
155,SONG,4,233,,20,32
156,SONG,5,234,,12,32
157,SONG,5,235,,9,33
158,SONG,2,236,,2,33
159,SONG,4,237,,17,33
160,SONG,4,238,,18,33
161,SONG,4,239,,8,33
162,SONG,5,240,,3,33
163,SONG,5,241,,5,33
164,SONG,4.5,243,,4,34
165,MOVIE,2,244,11,,34
166,MOVIE,3.5,245,19,,34
167,MOVIE,4,246,16,,34
168,SONG,3,247,,3,34
169,MOVIE,2,248,21,,34
170,SONG,3.5,249,,11,34
171,SONG,3,250,,6,34
172,SONG,3,251,,15,34
173,SONG,3.5,252,,10,34
174,SONG,4,253,,1,34
175,SONG,4.5,254,,14,34
176,SONG,4.5,255,,8,34
177,SONG,4.5,256,,20,34
178,SONG,4,257,,17,34
179,SONG,3,258,,13,34
180,SONG,4,259,,12,34
181,SONG,3,260,,18,34
182,SONG,3.5,261,,16,34
183,SONG,3,262,,9,34
184,SONG,4,263,,9,35
185,MOVIE,3,264,19,,35
186,SONG,5,265,,12,35
187,MOVIE,4.5,266,5,,35
188,SONG,4,267,,15,36
189,MOVIE,4,268,21,,36
190,MOVIE,4,269,18,,38
191,SONG,1.5,270,,12,38
192,SONG,3,272,,9,38
193,MOVIE,4.5,273,15,,38
194,MOVIE,5,274,14,,38
195,MOVIE,1,275,1,,38
196,MOVIE,2,276,7,,38
197,MOVIE,2,277,19,,38
198,MOVIE,5,279,5,,38
199,MOVIE,5,280,17,,38
200,MOVIE,4.5,281,3,,38
201,MOVIE,4.5,282,16,,38
202,MOVIE,3,283,8,,38
203,MOVIE,3,284,4,,38
204,MOVIE,5,285,13,,38
205,MOVIE,4,286,20,,38
206,MOVIE,5,287,6,,38
207,MOVIE,5,289,12,,38
208,MOVIE,3.5,290,11,,38
209,MOVIE,2,292,10,,38
210,MOVIE,2,293,21,,38
211,MOVIE,5,294,2,,38
212,MOVIE,4.5,295,20,,39
213,SONG,5,296,,6,40
214,SONG,4,297,,2,40
215,SONG,0,298,,1,40
216,SONG,5,299,,8,40
217,SONG,3,300,,16,40
218,SONG,0,301,,13,40
219,SONG,5,302,,10,40
220,SONG,5,303,,14,40
221,SONG,0,304,,15,40
222,SONG,4,305,,19,40
223,SONG,4.5,306,,11,40
224,SONG,3.5,307,,7,40
225,SONG,3.5,309,,15,41
226,SONG,5,310,,13,41
227,SONG,5,311,,11,41
228,SONG,4,312,,10,41
