id,album,artist,duration,genre,language,rating,release_date,title
3,After Hours,The Weeknd,3:20,pop,eng,4.4,2019-11-29 00:00:00,Blinding Lights
2,American Idiot,Green Day,4:20,rock,eng,4.1,2004-11-29 00:00:00,Boulevard of Broken Dreams
1,A Star is Born Soundtrack,Lady Gaga & Bradley Cooper,3:36,film,eng,3.71,2018-09-27 00:00:00,Shallow
4,A Night at the Opera,Queen,5:55,rock,eng,4.59,1975-10-31 00:00:00,Bohemian Rhapsody
5,Night Visions,Imagine Dragons,3:06,electronic,eng,3.0,2012-02-14 00:00:00,Radioactive
6,Time Out,Dave Brubeck Quartet,5:24,jazz,none,4.58,1959-09-21 00:00:00,Take Five
7,Metallica,Metallica,5:32,metal,eng,4.22,1991-07-29 00:00:00,Enter Sandman
8,Elephant,The White Stripes,4:02,rock,eng,4.49,2003-04-01 00:00:00,Seven Nation Army
9,Nothing But the Beat,David Guetta feat. Sia,4:05,electronic,eng,3.25,2011-08-08 00:00:00,Titanium
10,Amélie (Soundtrack),Yann Tiersen,2:20,classical,none,3.9,2001-01-01 00:00:00,Comptine d'un autre été: L'après-midi
11,I Put a Spell on You,Nina Simone,2:53,jazz,eng,4.51,1965-06-16 00:00:00,Feeling Good
12,Arrival,ABBA,3:51,pop,eng,4.53,1976-08-16 00:00:00,Dancing Queen
13,Viva la Vida or Death and All His Friends,Coldplay,4:02,pop,eng,4.36,2008-06-12 00:00:00,Viva La Vida
14,The Eminem Show,Eminem,4:50,hip-hop,eng,4.29,2002-05-28 00:00:00,Without Me
15,Let's Talk About Love,Celine Dion,4:40,film,eng,3.54,1997-11-03 00:00:00,My Heart Will Go On
16,21,Adele,3:48,pop,eng,4.15,2010-11-29 00:00:00,Rolling in the Deep
17,x,Ed Sheeran,4:19,pop,eng,3.15,2014-06-23 00:00:00,Photograph
18,Graduation,Kanye West,5:11,hip-hop,eng,4.2,2007-08-11 00:00:00,Stronger
19,Requiem for a Dream (Soundtrack),Clint Mansell,3:03,classical,none,4.45,2000-11-13 00:00:00,Lux Aeterna
20,The 20/20 Experience,Justin Timberlake,4:36,pop,eng,4.05,2013-02-11 00:00:00,Mirrors
21,Ace of Spades,Motörhead,2:49,metal,eng,3.82,1980-11-08 00:00:00,Ace of Spades
22,All or Nothing at All,Billie Holiday,3:52,jazz,eng,3.25,1941-10-01 00:00:00,All of Me
23,The Avengers (Original Motion Picture Soundtrack),Alan Silvestri,2:10,film,eng,3.17,2012-05-01 00:00:00,The Avengers Theme
24,Eye of the Tiger,Survivor,4:05,rock,eng,3.24,1982-06-08 00:00:00,Eye of the Tiger
25,MONTERO,Lil Nas X feat. Jack Harlow,3:32,hip-hop,eng,3.53,2021-07-23 00:00:00,INDUSTRY BABY
26,Meteora,Linkin Park,3:05,rock,eng,3.33,2003-09-08 00:00:00,Numb
27,Astroworld,Travis Scott,5:12,hip-hop,eng,3.66,2018-08-21 00:00:00,SICKO MODE
28,Piece of Mind,Iron Maiden,4:11,metal,eng,4.59,1983-05-16 00:00:00,The Trooper
29,Just Be,Tiësto,3:26,electronic,eng,2.98,2005-04-14 00:00:00,Adagio for Strings
30,Animals,Martin Garrix,3:11,electronic,eng,2.19,2013-06-06 00:00:00,Animals
31,All Eyez on Me,2Pac feat. Dr. Dre,4:45,hip-hop,eng,3.69,1995-12-28 00:00:00,California Love
32,It Might As Well Be Swing,Frank Sinatra,2:30,jazz,eng,3.87,1964-06-09 00:00:00,Fly Me to the Moon
33,Crush,Bon Jovi,3:45,rock,eng,2.23,2000-05-23 00:00:00,It's My Life
34,Illuminate,Shawn Mendes,3:18,pop,eng,2.46,2017-04-20 00:00:00,There's Nothing Holdin' Me Back
35,The Firebird - Suite (1919),Igor Stravinsky,4:31,classical,eng,3.75,1919-01-01 00:00:00,Infernal Dance of King Kaschei
